iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(17, 9)",None,None,"[(17, 8), (16, 9)]","[(17, 9)]","[(17, 8), (16, 9)]",1,0,24,24
1,"(17, 8)","(17, 9)",South,"[(17, 9), (17, 7)]","[(17, 8), (16, 9)]","[(16, 9), (17, 7)]",2,1,23,24
2,"(16, 9)","(17, 9)",West,"[(17, 9), (15, 9)]","[(16, 9), (17, 7)]","[(17, 7), (15, 9)]",3,1,23,24
3,"(17, 7)","(17, 8)",South,"[(17, 8), (16, 7)]","[(17, 7), (15, 9)]","[(15, 9), (16, 7)]",4,2,22,24
4,"(15, 9)","(16, 9)",West,"[(16, 9), (14, 9)]","[(15, 9), (16, 7)]","[(16, 7), (14, 9)]",5,2,22,24
5,"(16, 7)","(17, 7)",West,"[(17, 7), (15, 7)]","[(16, 7), (14, 9)]","[(14, 9), (15, 7)]",6,3,21,24
6,"(14, 9)","(15, 9)",West,"[(15, 9), (13, 9)]","[(14, 9), (15, 7)]","[(15, 7), (13, 9)]",7,3,21,24
7,"(15, 7)","(16, 7)",West,"[(15, 6), (16, 7)]","[(15, 7), (13, 9)]","[(13, 9), (15, 6)]",8,4,20,24
8,"(13, 9)","(14, 9)",West,"[(13, 8), (14, 9), (12, 9)]","[(13, 9), (15, 6)]","[(15, 6), (13, 8), (12, 9)]",9,4,20,24
9,"(15, 6)","(15, 7)",South,"[(15, 7), (15, 5)]","[(15, 6), (13, 8), (12, 9)]","[(13, 8), (12, 9), (15, 5)]",10,5,19,24
10,"(13, 8)","(13, 9)",South,"[(13, 9), (13, 7)]","[(13, 8), (12, 9), (15, 5)]","[(12, 9), (15, 5), (13, 7)]",11,5,19,24
11,"(12, 9)","(13, 9)",West,"[(13, 9), (11, 9)]","[(12, 9), (15, 5), (13, 7)]","[(15, 5), (13, 7), (11, 9)]",12,5,19,24
12,"(15, 5)","(15, 6)",South,"[(15, 6), (15, 4), (16, 5)]","[(15, 5), (13, 7), (11, 9)]","[(13, 7), (11, 9), (15, 4), (16, 5)]",13,6,18,24
13,"(13, 7)","(13, 8)",South,"[(13, 8), (12, 7)]","[(13, 7), (11, 9), (15, 4), (16, 5)]","[(11, 9), (12, 7), (15, 4), (16, 5)]",14,6,18,24
14,"(11, 9)","(12, 9)",West,"[(11, 8), (12, 9), (10, 9)]","[(11, 9), (12, 7), (15, 4), (16, 5)]","[(15, 4), (12, 7), (16, 5), (11, 8), (10, 9)]",15,6,18,24
