iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(17, 9)",None,None,"[(17, 8), (16, 9)]","[(17, 9)]","[(16, 9), (17, 8)]",1,0,0,0
1,"(17, 8)","(17, 9)",South,"[(17, 9), (17, 7)]","[(16, 9), (17, 8)]","[(17, 7), (16, 9)]",2,1,0,1
2,"(16, 9)","(17, 9)",West,"[(17, 9), (15, 9)]","[(17, 7), (16, 9)]","[(15, 9), (17, 7)]",3,1,0,1
3,"(17, 7)","(17, 8)",South,"[(17, 8), (16, 7)]","[(15, 9), (17, 7)]","[(16, 7), (15, 9)]",4,2,0,2
4,"(15, 9)","(16, 9)",West,"[(16, 9), (14, 9)]","[(16, 7), (15, 9)]","[(14, 9), (16, 7)]",5,2,0,2
5,"(16, 7)","(17, 7)",West,"[(17, 7), (15, 7)]","[(14, 9), (16, 7)]","[(15, 7), (14, 9)]",6,3,0,3
6,"(14, 9)","(15, 9)",West,"[(15, 9), (13, 9)]","[(15, 7), (14, 9)]","[(13, 9), (15, 7)]",7,3,0,3
7,"(15, 7)","(16, 7)",West,"[(15, 6), (16, 7)]","[(13, 9), (15, 7)]","[(15, 6), (13, 9)]",8,4,0,4
8,"(13, 9)","(14, 9)",West,"[(13, 8), (14, 9), (12, 9)]","[(15, 6), (13, 9)]","[(12, 9), (13, 8), (15, 6)]",9,4,0,4
9,"(15, 6)","(15, 7)",South,"[(15, 7), (15, 5)]","[(12, 9), (13, 8), (15, 6)]","[(15, 5), (12, 9), (13, 8)]",10,5,0,5
10,"(13, 8)","(13, 9)",South,"[(13, 9), (13, 7)]","[(15, 5), (12, 9), (13, 8)]","[(13, 7), (15, 5), (12, 9)]",11,5,0,5
11,"(12, 9)","(13, 9)",West,"[(13, 9), (11, 9)]","[(13, 7), (15, 5), (12, 9)]","[(11, 9), (13, 7), (15, 5)]",12,5,0,5
12,"(15, 5)","(15, 6)",South,"[(15, 6), (15, 4), (16, 5)]","[(11, 9), (13, 7), (15, 5)]","[(16, 5), (15, 4), (11, 9), (13, 7)]",13,6,0,6
13,"(13, 7)","(13, 8)",South,"[(13, 8), (12, 7)]","[(16, 5), (15, 4), (11, 9), (13, 7)]","[(12, 7), (16, 5), (15, 4), (11, 9)]",14,6,0,6
14,"(11, 9)","(12, 9)",West,"[(11, 8), (12, 9), (10, 9)]","[(12, 7), (16, 5), (15, 4), (11, 9)]","[(10, 9), (11, 8), (12, 7), (16, 5), (15, 4)]",15,6,0,6
15,"(15, 4)","(15, 5)",South,"[(15, 5), (15, 3)]","[(10, 9), (11, 8), (12, 7), (16, 5), (15, 4)]","[(15, 3), (10, 9), (11, 8), (12, 7), (16, 5)]",16,7,0,7
16,"(16, 5)","(15, 5)",East,"[(17, 5), (15, 5)]","[(15, 3), (10, 9), (11, 8), (12, 7), (16, 5)]","[(17, 5), (15, 3), (10, 9), (11, 8), (12, 7)]",17,7,0,7
17,"(12, 7)","(13, 7)",West,"[(13, 7), (11, 7)]","[(17, 5), (15, 3), (10, 9), (11, 8), (12, 7)]","[(11, 7), (17, 5), (15, 3), (10, 9), (11, 8)]",18,7,0,7
18,"(11, 8)","(11, 9)",South,"[(11, 9), (11, 7)]","[(11, 7), (17, 5), (15, 3), (10, 9), (11, 8)]","[(11, 7), (11, 7), (17, 5), (15, 3), (10, 9)]",19,7,0,7
19,"(10, 9)","(11, 9)",West,"[(11, 9), (9, 9)]","[(11, 7), (11, 7), (17, 5), (15, 3), (10, 9)]","[(9, 9), (11, 7), (11, 7), (17, 5), (15, 3)]",20,7,0,7
20,"(15, 3)","(15, 4)",South,"[(15, 4), (15, 2)]","[(9, 9), (11, 7), (11, 7), (17, 5), (15, 3)]","[(15, 2), (9, 9), (11, 7), (11, 7), (17, 5)]",21,8,0,8
21,"(17, 5)","(16, 5)",East,"[(17, 4), (16, 5)]","[(15, 2), (9, 9), (11, 7), (11, 7), (17, 5)]","[(17, 4), (15, 2), (9, 9), (11, 7), (11, 7)]",22,8,0,8
22,"(11, 7)","(12, 7)",West,"[(11, 8), (12, 7)]","[(17, 4), (15, 2), (9, 9), (11, 7), (11, 7)]","[(17, 4), (15, 2), (9, 9), (11, 7)]",23,8,0,8
23,"(9, 9)","(10, 9)",West,"[(10, 9), (8, 9)]","[(17, 4), (15, 2), (9, 9)]","[(8, 9), (17, 4), (15, 2)]",24,8,0,8
24,"(15, 2)","(15, 3)",South,"[(15, 3), (15, 1)]","[(8, 9), (17, 4), (15, 2)]","[(15, 1), (8, 9), (17, 4)]",25,9,0,9
25,"(17, 4)","(17, 5)",South,"[(17, 5), (17, 3)]","[(15, 1), (8, 9), (17, 4)]","[(17, 3), (15, 1), (8, 9)]",26,9,0,9
26,"(8, 9)","(9, 9)",West,"[(9, 9), (7, 9)]","[(17, 3), (15, 1), (8, 9)]","[(7, 9), (17, 3), (15, 1)]",27,9,0,9
27,"(15, 1)","(15, 2)",South,"[(15, 2), (16, 1), (14, 1)]","[(7, 9), (17, 3), (15, 1)]","[(14, 1), (16, 1), (7, 9), (17, 3)]",28,10,0,10
28,"(17, 3)","(17, 4)",South,"[(17, 4), (17, 2)]","[(14, 1), (16, 1), (7, 9), (17, 3)]","[(17, 2), (14, 1), (16, 1), (7, 9)]",29,10,0,10
29,"(7, 9)","(8, 9)",West,"[(7, 8), (8, 9), (6, 9)]","[(17, 2), (14, 1), (16, 1), (7, 9)]","[(6, 9), (7, 8), (17, 2), (14, 1), (16, 1)]",30,10,0,10
30,"(16, 1)","(15, 1)",East,"[(17, 1), (15, 1)]","[(6, 9), (7, 8), (17, 2), (14, 1), (16, 1)]","[(17, 1), (6, 9), (7, 8), (17, 2), (14, 1)]",31,11,0,11
31,"(14, 1)","(15, 1)",West,"[(15, 1), (13, 1)]","[(17, 1), (6, 9), (7, 8), (17, 2), (14, 1)]","[(13, 1), (17, 1), (6, 9), (7, 8), (17, 2)]",32,11,0,11
32,"(17, 2)","(17, 3)",South,"[(17, 3), (17, 1)]","[(13, 1), (17, 1), (6, 9), (7, 8), (17, 2)]","[(17, 1), (13, 1), (17, 1), (6, 9), (7, 8)]",33,11,0,11
