iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(17, 9)",None,None,"[(17, 8), (16, 9)]","[(17, 9)]","[(17, 8), (16, 9)]",1,0,0,0
1,"(16, 9)","(17, 9)",West,"[(17, 9), (15, 9)]","[(17, 8), (16, 9)]","[(17, 8), (15, 9)]",2,1,0,1
2,"(15, 9)","(16, 9)",West,"[(16, 9), (14, 9)]","[(17, 8), (15, 9)]","[(17, 8), (14, 9)]",3,2,0,2
3,"(14, 9)","(15, 9)",West,"[(15, 9), (13, 9)]","[(17, 8), (14, 9)]","[(17, 8), (13, 9)]",4,3,0,3
4,"(13, 9)","(14, 9)",West,"[(13, 8), (14, 9), (12, 9)]","[(17, 8), (13, 9)]","[(17, 8), (13, 8), (12, 9)]",5,4,0,4
5,"(12, 9)","(13, 9)",West,"[(13, 9), (11, 9)]","[(17, 8), (13, 8), (12, 9)]","[(17, 8), (13, 8), (11, 9)]",6,5,0,5
6,"(11, 9)","(12, 9)",West,"[(11, 8), (12, 9), (10, 9)]","[(17, 8), (13, 8), (11, 9)]","[(17, 8), (13, 8), (11, 8), (10, 9)]",7,6,0,6
7,"(10, 9)","(11, 9)",West,"[(11, 9), (9, 9)]","[(17, 8), (13, 8), (11, 8), (10, 9)]","[(17, 8), (13, 8), (11, 8), (9, 9)]",8,7,0,7
8,"(9, 9)","(10, 9)",West,"[(10, 9), (8, 9)]","[(17, 8), (13, 8), (11, 8), (9, 9)]","[(17, 8), (13, 8), (11, 8), (8, 9)]",9,8,0,8
9,"(8, 9)","(9, 9)",West,"[(9, 9), (7, 9)]","[(17, 8), (13, 8), (11, 8), (8, 9)]","[(17, 8), (13, 8), (11, 8), (7, 9)]",10,9,0,9
10,"(7, 9)","(8, 9)",West,"[(7, 8), (8, 9), (6, 9)]","[(17, 8), (13, 8), (11, 8), (7, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (6, 9)]",11,10,0,10
11,"(6, 9)","(7, 9)",West,"[(7, 9), (5, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (6, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (5, 9)]",12,11,0,11
12,"(5, 9)","(6, 9)",West,"[(6, 9), (4, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (5, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (4, 9)]",13,12,0,12
13,"(4, 9)","(5, 9)",West,"[(5, 9), (3, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (4, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (3, 9)]",14,13,0,13
14,"(3, 9)","(4, 9)",West,"[(3, 8), (4, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (3, 9)]","[(17, 8), (13, 8), (11, 8), (7, 8), (3, 8)]",15,14,0,14
15,"(3, 8)","(3, 9)",South,"[(3, 9), (3, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (3, 8)]","[(17, 8), (13, 8), (11, 8), (7, 8), (3, 7)]",16,15,0,15
16,"(3, 7)","(3, 8)",South,"[(3, 8), (2, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (3, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (2, 7)]",17,16,0,16
17,"(2, 7)","(3, 7)",West,"[(3, 7), (1, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (2, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 7)]",18,17,0,17
18,"(1, 7)","(2, 7)",West,"[(1, 8), (1, 6), (2, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 7)]","[(17, 8), (13, 8), (11, 8), (7, 8), (1, 8), (1, 6)]",19,18,0,18
