iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(17, 9)",None,None,"[(17, 8), (16, 9)]","[(17, 9)]","[(17, 8), (16, 9)]","[(17, 9)]",0,24,24
1,"(17, 8)","(17, 9)",South,"[(17, 9), (17, 7)]","[(17, 8), (16, 9)]","[(17, 7), (16, 9)]","[(17, 8), (17, 9)]",1,23,24
2,"(17, 7)","(17, 8)",South,"[(17, 8), (16, 7)]","[(17, 7), (16, 9)]","[(16, 7), (16, 9)]","[(17, 7), (17, 8), (17, 9)]",2,22,24
3,"(16, 7)","(17, 7)",West,"[(17, 7), (15, 7)]","[(16, 7), (16, 9)]","[(15, 7), (16, 9)]","[(16, 7), (17, 7), (17, 8), (17, 9)]",3,21,24
4,"(15, 7)","(16, 7)",West,"[(15, 6), (16, 7)]","[(15, 7), (16, 9)]","[(15, 6), (16, 9)]","[(16, 7), (17, 7), (15, 7), (17, 9), (17, 8)]",4,20,24
5,"(15, 6)","(15, 7)",South,"[(15, 7), (15, 5)]","[(15, 6), (16, 9)]","[(15, 5), (16, 9)]","[(16, 7), (17, 7), (15, 7), (17, 9), (15, 6), (17, 8)]",5,19,24
6,"(15, 5)","(15, 6)",South,"[(15, 6), (15, 4), (16, 5)]","[(15, 5), (16, 9)]","[(15, 4), (16, 9), (16, 5)]","[(16, 7), (15, 5), (17, 7), (15, 7), (17, 9), (15, 6), (17, 8)]",6,18,24
7,"(15, 4)","(15, 5)",South,"[(15, 5), (15, 3)]","[(15, 4), (16, 9), (16, 5)]","[(15, 3), (16, 9), (16, 5)]","[(16, 7), (15, 5), (17, 7), (15, 4), (15, 7), (17, 9), (15, 6), (17, 8)]",7,17,24
8,"(15, 3)","(15, 4)",South,"[(15, 4), (15, 2)]","[(15, 3), (16, 9), (16, 5)]","[(15, 2), (16, 9), (16, 5)]","[(16, 7), (15, 5), (17, 7), (15, 4), (15, 7), (17, 9), (15, 6), (15, 3), (17, 8)]",8,16,24
9,"(15, 2)","(15, 3)",South,"[(15, 3), (15, 1)]","[(15, 2), (16, 9), (16, 5)]","[(15, 1), (16, 9), (16, 5)]","[(16, 7), (15, 5), (17, 7), (15, 4), (15, 7), (17, 9), (15, 6), (15, 3), (17, 8), (15, 2)]",9,15,24
10,"(15, 1)","(15, 2)",South,"[(15, 2), (16, 1), (14, 1)]","[(15, 1), (16, 9), (16, 5)]","[(14, 1), (16, 1), (16, 5), (16, 9)]","[(16, 7), (15, 5), (17, 7), (15, 4), (15, 1), (15, 7), (17, 9), (15, 6), (15, 3), (17, 8), (15, 2)]",10,14,24
11,"(14, 1)","(15, 1)",West,"[(15, 1), (13, 1)]","[(14, 1), (16, 1), (16, 5), (16, 9)]","[(13, 1), (16, 1), (16, 5), (16, 9)]","[(16, 7), (15, 5), (17, 7), (15, 4), (14, 1), (15, 1), (15, 7), (17, 9), (15, 6), (15, 3), (17, 8), (15, 2)]",11,13,24
12,"(13, 1)","(14, 1)",West,"[(14, 1), (12, 1)]","[(13, 1), (16, 1), (16, 5), (16, 9)]","[(12, 1), (16, 1), (16, 5), (16, 9)]","[(16, 7), (15, 5), (17, 7), (13, 1), (15, 4), (14, 1), (15, 1), (15, 7), (17, 9), (15, 6), (15, 3), (17, 8), (15, 2)]",12,12,24
13,"(12, 1)","(13, 1)",West,"[(13, 1), (11, 1)]","[(12, 1), (16, 1), (16, 5), (16, 9)]","[(11, 1), (16, 1), (16, 5), (16, 9)]","[(16, 7), (15, 5), (17, 7), (12, 1), (13, 1), (15, 4), (14, 1), (15, 1), (15, 7), (17, 9), (15, 6), (15, 3), (17, 8), (15, 2)]",13,11,24
14,"(11, 1)","(12, 1)",West,"[(12, 1), (10, 1)]","[(11, 1), (16, 1), (16, 5), (16, 9)]","[(10, 1), (16, 1), (16, 5), (16, 9)]","[(16, 7), (15, 5), (11, 1), (17, 7), (12, 1), (13, 1), (15, 4), (14, 1), (15, 1), (15, 7), (17, 9), (15, 6), (15, 3), (17, 8), (15, 2)]",14,10,24
