iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(34, 16)",None,None,"[(34, 15), (33, 16)]","[(34, 16)]","[(34, 15), (33, 16)]",1,0,0,0
1,"(33, 16)","(34, 16)",West,"[(34, 16), (32, 16)]","[(34, 15), (33, 16)]","[(34, 15), (32, 16)]",2,1,0,1
2,"(32, 16)","(33, 16)",West,"[(33, 16), (31, 16)]","[(34, 15), (32, 16)]","[(34, 15), (31, 16)]",3,2,0,2
3,"(31, 16)","(32, 16)",West,"[(32, 16), (30, 16)]","[(34, 15), (31, 16)]","[(34, 15), (30, 16)]",4,3,0,3
4,"(30, 16)","(31, 16)",West,"[(31, 16), (29, 16)]","[(34, 15), (30, 16)]","[(34, 15), (29, 16)]",5,4,0,4
5,"(29, 16)","(30, 16)",West,"[(30, 16), (28, 16)]","[(34, 15), (29, 16)]","[(34, 15), (28, 16)]",6,5,0,5
6,"(28, 16)","(29, 16)",West,"[(29, 16), (27, 16)]","[(34, 15), (28, 16)]","[(34, 15), (27, 16)]",7,6,0,6
7,"(27, 16)","(28, 16)",West,"[(28, 16), (26, 16)]","[(34, 15), (27, 16)]","[(34, 15), (26, 16)]",8,7,0,7
8,"(26, 16)","(27, 16)",West,"[(27, 16), (25, 16)]","[(34, 15), (26, 16)]","[(34, 15), (25, 16)]",9,8,0,8
9,"(25, 16)","(26, 16)",West,"[(25, 15), (26, 16), (24, 16)]","[(34, 15), (25, 16)]","[(34, 15), (25, 15), (24, 16)]",10,9,0,9
10,"(24, 16)","(25, 16)",West,"[(25, 16), (23, 16)]","[(34, 15), (25, 15), (24, 16)]","[(34, 15), (25, 15), (23, 16)]",11,10,0,10
11,"(23, 16)","(24, 16)",West,"[(24, 16), (22, 16)]","[(34, 15), (25, 15), (23, 16)]","[(34, 15), (25, 15), (22, 16)]",12,11,0,11
