iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(17, 9)",None,None,"[(17, 8), (16, 9)]","[(17, 9)]","[(17, 8), (16, 9)]",1,0,24,24
1,"(17, 8)","(17, 9)",South,"[(17, 9), (17, 7)]","[(17, 8), (16, 9)]","[(17, 7), (16, 9)]",2,1,23,23
2,"(17, 7)","(17, 8)",South,"[(17, 8), (16, 7)]","[(17, 7), (16, 9)]","[(16, 7), (16, 9)]",3,2,22,22
3,"(16, 7)","(17, 7)",West,"[(17, 7), (15, 7)]","[(16, 7), (16, 9)]","[(15, 7), (16, 9)]",4,3,21,21
4,"(15, 7)","(16, 7)",West,"[(15, 6), (16, 7)]","[(15, 7), (16, 9)]","[(15, 6), (16, 9)]",5,4,20,20
5,"(15, 6)","(15, 7)",South,"[(15, 7), (15, 5)]","[(15, 6), (16, 9)]","[(15, 5), (16, 9)]",6,5,19,19
6,"(15, 5)","(15, 6)",South,"[(15, 6), (15, 4), (16, 5)]","[(15, 5), (16, 9)]","[(15, 4), (16, 9), (16, 5)]",7,6,18,18
7,"(15, 4)","(15, 5)",South,"[(15, 5), (15, 3)]","[(15, 4), (16, 9), (16, 5)]","[(15, 3), (16, 9), (16, 5)]",8,7,17,17
8,"(15, 3)","(15, 4)",South,"[(15, 4), (15, 2)]","[(15, 3), (16, 9), (16, 5)]","[(15, 2), (16, 9), (16, 5)]",9,8,16,16
9,"(15, 2)","(15, 3)",South,"[(15, 3), (15, 1)]","[(15, 2), (16, 9), (16, 5)]","[(15, 1), (16, 9), (16, 5)]",10,9,15,15
10,"(15, 1)","(15, 2)",South,"[(15, 2), (16, 1), (14, 1)]","[(15, 1), (16, 9), (16, 5)]","[(14, 1), (16, 1), (16, 5), (16, 9)]",11,10,14,14
11,"(14, 1)","(15, 1)",West,"[(15, 1), (13, 1)]","[(14, 1), (16, 1), (16, 5), (16, 9)]","[(13, 1), (16, 1), (16, 5), (16, 9)]",12,11,13,13
12,"(13, 1)","(14, 1)",West,"[(14, 1), (12, 1)]","[(13, 1), (16, 1), (16, 5), (16, 9)]","[(12, 1), (16, 1), (16, 5), (16, 9)]",13,12,12,12
13,"(12, 1)","(13, 1)",West,"[(13, 1), (11, 1)]","[(12, 1), (16, 1), (16, 5), (16, 9)]","[(11, 1), (16, 1), (16, 5), (16, 9)]",14,13,11,11
14,"(11, 1)","(12, 1)",West,"[(12, 1), (10, 1)]","[(11, 1), (16, 1), (16, 5), (16, 9)]","[(10, 1), (16, 1), (16, 5), (16, 9)]",15,14,10,10
15,"(10, 1)","(11, 1)",West,"[(11, 1), (9, 1)]","[(10, 1), (16, 1), (16, 5), (16, 9)]","[(9, 1), (16, 1), (16, 5), (16, 9)]",16,15,9,9
16,"(9, 1)","(10, 1)",West,"[(9, 2), (10, 1)]","[(9, 1), (16, 1), (16, 5), (16, 9)]","[(9, 2), (16, 1), (16, 5), (16, 9)]",17,16,8,8
17,"(9, 2)","(9, 1)",North,"[(9, 3), (9, 1)]","[(9, 2), (16, 1), (16, 5), (16, 9)]","[(9, 3), (16, 1), (16, 5), (16, 9)]",18,17,9,9
18,"(9, 3)","(9, 2)",North,"[(9, 4), (9, 2), (8, 3)]","[(9, 3), (16, 1), (16, 5), (16, 9)]","[(8, 3), (9, 4), (16, 5), (16, 9), (16, 1)]",19,18,10,10
19,"(8, 3)","(9, 3)",West,"[(9, 3), (7, 3)]","[(8, 3), (9, 4), (16, 5), (16, 9), (16, 1)]","[(7, 3), (9, 4), (16, 5), (16, 9), (16, 1)]",20,19,9,9
20,"(7, 3)","(8, 3)",West,"[(7, 4), (7, 2), (8, 3)]","[(7, 3), (9, 4), (16, 5), (16, 9), (16, 1)]","[(7, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",21,20,8,8
21,"(7, 2)","(7, 3)",South,"[(7, 3), (7, 1)]","[(7, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(7, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",22,21,7,7
22,"(7, 1)","(7, 2)",South,"[(7, 2), (6, 1)]","[(7, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(6, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",23,22,6,6
23,"(6, 1)","(7, 1)",West,"[(7, 1), (5, 1)]","[(6, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",24,23,5,5
24,"(5, 1)","(6, 1)",West,"[(5, 2), (6, 1)]","[(5, 1), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",25,24,4,4
25,"(5, 2)","(5, 1)",North,"[(5, 3), (5, 1)]","[(5, 2), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 3), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",26,25,5,5
26,"(5, 3)","(5, 2)",North,"[(5, 4), (5, 2)]","[(5, 3), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 4), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",27,26,6,6
27,"(5, 4)","(5, 3)",North,"[(5, 5), (5, 3)]","[(5, 4), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(5, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]",28,27,7,7
28,"(5, 5)","(5, 4)",North,"[(5, 6), (5, 4), (4, 5)]","[(5, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5)]","[(4, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]",29,28,8,8
29,"(4, 5)","(5, 5)",West,"[(5, 5), (3, 5)]","[(4, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(3, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]",30,29,7,7
30,"(3, 5)","(4, 5)",West,"[(4, 5), (2, 5)]","[(3, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(2, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]",31,30,6,6
31,"(2, 5)","(3, 5)",West,"[(3, 5), (1, 5)]","[(2, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(1, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]",32,31,5,5
32,"(1, 5)","(2, 5)",West,"[(1, 6), (1, 4), (2, 5)]","[(1, 5), (9, 4), (7, 4), (16, 9), (16, 1), (16, 5), (5, 6)]","[(1, 4), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]",33,32,4,4
33,"(1, 4)","(1, 5)",South,"[(1, 5), (1, 3)]","[(1, 4), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]","[(1, 3), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]",34,33,3,3
34,"(1, 3)","(1, 4)",South,"[(1, 4), (1, 2), (2, 3)]","[(1, 3), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]","[(1, 2), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]",35,34,2,2
35,"(1, 2)","(1, 3)",South,"[(1, 3), (1, 1)]","[(1, 2), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]","[(1, 1), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]",36,35,1,1
36,"(1, 1)","(1, 2)",South,[],"[(1, 1), (2, 3), (7, 4), (1, 6), (16, 1), (16, 5), (5, 6), (16, 9), (9, 4)]","[(2, 3), (1, 6), (7, 4), (9, 4), (16, 1), (16, 5), (5, 6), (16, 9)]",37,36,0,0
