iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(35, 1)",None,None,"[(35, 2), (34, 1)]","[(35, 1)]","[(35, 2), (34, 1)]",1,0,0,0
1,"(34, 1)","(35, 1)",West,"[(35, 1), (33, 1)]","[(35, 2), (34, 1)]","[(35, 2), (33, 1)]",2,1,0,1
2,"(33, 1)","(34, 1)",West,"[(34, 1)]","[(35, 2), (33, 1)]","[(35, 2)]",3,2,0,2
3,"(35, 2)","(35, 1)",North,"[(35, 3), (35, 1)]","[(35, 2)]","[(35, 3)]",4,1,0,1
4,"(35, 3)","(35, 2)",North,"[(35, 4), (35, 2), (34, 3)]","[(35, 3)]","[(35, 4), (34, 3)]",5,2,0,2
5,"(34, 3)","(35, 3)",West,"[(35, 3), (33, 3)]","[(35, 4), (34, 3)]","[(35, 4), (33, 3)]",6,3,0,3
6,"(33, 3)","(34, 3)",West,"[(33, 4), (34, 3), (32, 3)]","[(35, 4), (33, 3)]","[(35, 4), (33, 4), (32, 3)]",7,4,0,4
7,"(32, 3)","(33, 3)",West,"[(33, 3), (31, 3)]","[(35, 4), (33, 4), (32, 3)]","[(35, 4), (33, 4), (31, 3)]",8,5,0,5
8,"(31, 3)","(32, 3)",West,"[(31, 4), (31, 2), (32, 3)]","[(35, 4), (33, 4), (31, 3)]","[(35, 4), (33, 4), (31, 4), (31, 2)]",9,6,0,6
9,"(31, 2)","(31, 3)",South,"[(31, 3), (31, 1)]","[(35, 4), (33, 4), (31, 4), (31, 2)]","[(35, 4), (33, 4), (31, 4), (31, 1)]",10,7,0,7
10,"(31, 1)","(31, 2)",South,"[(31, 2)]","[(35, 4), (33, 4), (31, 4), (31, 1)]","[(35, 4), (33, 4), (31, 4)]",11,8,0,8
11,"(31, 4)","(31, 3)",North,"[(31, 5), (31, 3)]","[(35, 4), (33, 4), (31, 4)]","[(35, 4), (33, 4), (31, 5)]",12,7,0,7
12,"(31, 5)","(31, 4)",North,"[(31, 6), (31, 4), (30, 5)]","[(35, 4), (33, 4), (31, 5)]","[(35, 4), (33, 4), (31, 6), (30, 5)]",13,8,0,8
13,"(30, 5)","(31, 5)",West,"[(31, 5), (29, 5)]","[(35, 4), (33, 4), (31, 6), (30, 5)]","[(35, 4), (33, 4), (31, 6), (29, 5)]",14,9,0,9
14,"(29, 5)","(30, 5)",West,"[(29, 4), (30, 5)]","[(35, 4), (33, 4), (31, 6), (29, 5)]","[(35, 4), (33, 4), (31, 6), (29, 4)]",15,10,0,10
15,"(29, 4)","(29, 5)",South,"[(29, 5), (29, 3)]","[(35, 4), (33, 4), (31, 6), (29, 4)]","[(35, 4), (33, 4), (31, 6), (29, 3)]",16,11,0,11
16,"(29, 3)","(29, 4)",South,"[(29, 4), (28, 3)]","[(35, 4), (33, 4), (31, 6), (29, 3)]","[(35, 4), (33, 4), (31, 6), (28, 3)]",17,12,0,12
17,"(28, 3)","(29, 3)",West,"[(29, 3), (27, 3)]","[(35, 4), (33, 4), (31, 6), (28, 3)]","[(35, 4), (33, 4), (31, 6), (27, 3)]",18,13,0,13
18,"(27, 3)","(28, 3)",West,"[(27, 4), (27, 2), (28, 3), (26, 3)]","[(35, 4), (33, 4), (31, 6), (27, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (26, 3)]",19,14,0,14
19,"(26, 3)","(27, 3)",West,"[(27, 3), (25, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (26, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 3)]",20,15,0,15
20,"(25, 3)","(26, 3)",West,"[(25, 4), (26, 3), (24, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (24, 3)]",21,16,0,16
21,"(24, 3)","(25, 3)",West,"[(25, 3), (23, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (24, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 3)]",22,17,0,17
22,"(23, 3)","(24, 3)",West,"[(23, 2), (24, 3), (22, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (22, 3)]",23,18,0,18
23,"(22, 3)","(23, 3)",West,"[(23, 3), (21, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (22, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (21, 3)]",24,19,0,19
24,"(21, 3)","(22, 3)",West,"[(22, 3), (20, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (21, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (20, 3)]",25,20,0,20
25,"(20, 3)","(21, 3)",West,"[(21, 3), (19, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (20, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (19, 3)]",26,21,0,21
26,"(19, 3)","(20, 3)",West,"[(20, 3), (18, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (19, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (18, 3)]",27,22,0,22
27,"(18, 3)","(19, 3)",West,"[(19, 3), (17, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (18, 3)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 3)]",28,23,0,23
