iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(5, 5)",None,None,"[(5, 4), (4, 5)]","[(5, 5)]","[(5, 4), (4, 5)]",1,0,0,0
1,"(4, 5)","(5, 5)",West,"[(5, 5), (3, 5)]","[(5, 4), (4, 5)]","[(5, 4), (3, 5)]",2,1,0,1
2,"(3, 5)","(4, 5)",West,"[(4, 5), (2, 5)]","[(5, 4), (3, 5)]","[(5, 4), (2, 5)]",3,2,0,2
3,"(2, 5)","(3, 5)",West,"[(3, 5), (1, 5)]","[(5, 4), (2, 5)]","[(5, 4), (1, 5)]",4,3,0,3
4,"(1, 5)","(2, 5)",West,"[(1, 4), (2, 5)]","[(5, 4), (1, 5)]","[(5, 4), (1, 4)]",5,4,0,4
5,"(1, 4)","(1, 5)",South,"[(1, 5), (1, 3)]","[(5, 4), (1, 4)]","[(5, 4), (1, 3)]",6,5,0,5
6,"(1, 3)","(1, 4)",South,"[(1, 4), (2, 3)]","[(5, 4), (1, 3)]","[(5, 4), (2, 3)]",7,6,0,6
7,"(2, 3)","(1, 3)",East,"[(2, 2), (1, 3)]","[(5, 4), (2, 3)]","[(5, 4), (2, 2)]",8,7,0,7
8,"(2, 2)","(2, 3)",South,"[(2, 3), (2, 1), (3, 2)]","[(5, 4), (2, 2)]","[(5, 4), (2, 1), (3, 2)]",9,8,0,8
9,"(3, 2)","(2, 2)",East,"[(4, 2), (2, 2)]","[(5, 4), (2, 1), (3, 2)]","[(5, 4), (2, 1), (4, 2)]",10,9,0,9
10,"(4, 2)","(3, 2)",East,"[(4, 3), (3, 2)]","[(5, 4), (2, 1), (4, 2)]","[(5, 4), (2, 1), (4, 3)]",11,10,0,10
11,"(4, 3)","(4, 2)",North,"[(4, 2), (5, 3)]","[(5, 4), (2, 1), (4, 3)]","[(5, 4), (2, 1), (5, 3)]",12,11,0,11
12,"(5, 3)","(4, 3)",East,"[(5, 4), (4, 3)]","[(5, 4), (2, 1), (5, 3)]","[(5, 4), (2, 1), (5, 4)]",13,12,0,12
13,"(5, 4)","(5, 5)",South,"[(5, 5), (5, 3)]","[(5, 4), (2, 1), (5, 4)]","[(5, 4), (2, 1)]",14,13,0,13
14,"(2, 1)","(2, 2)",South,"[(2, 2), (1, 1)]","[(5, 4), (2, 1)]","[(5, 4), (1, 1)]",15,9,0,9
15,"(1, 1)","(2, 1)",West,[],"[(5, 4), (1, 1)]","[(5, 4)]",15,10,0,10
