iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(35, 1)",None,None,"[(35, 2), (34, 1)]","[(35, 1)]","[(34, 1), (35, 2)]",1,0,0,0
1,"(35, 2)","(35, 1)",North,"[(35, 3), (35, 1)]","[(34, 1), (35, 2)]","[(35, 3), (34, 1)]",2,1,0,1
2,"(34, 1)","(35, 1)",West,"[(35, 1), (33, 1)]","[(35, 3), (34, 1)]","[(33, 1), (35, 3)]",3,1,0,1
3,"(35, 3)","(35, 2)",North,"[(35, 4), (35, 2), (34, 3)]","[(33, 1), (35, 3)]","[(34, 3), (35, 4), (33, 1)]",4,2,0,2
4,"(33, 1)","(34, 1)",West,"[(34, 1)]","[(34, 3), (35, 4), (33, 1)]","[(34, 3), (35, 4)]",5,2,0,2
5,"(35, 4)","(35, 3)",North,"[(35, 5), (35, 3)]","[(34, 3), (35, 4)]","[(35, 5), (34, 3)]",6,3,0,3
6,"(34, 3)","(35, 3)",West,"[(35, 3), (33, 3)]","[(35, 5), (34, 3)]","[(33, 3), (35, 5)]",7,3,0,3
7,"(35, 5)","(35, 4)",North,"[(35, 4)]","[(33, 3), (35, 5)]","[(33, 3)]",8,4,0,4
8,"(33, 3)","(34, 3)",West,"[(33, 4), (34, 3), (32, 3)]","[(33, 3)]","[(32, 3), (33, 4)]",9,4,0,4
9,"(33, 4)","(33, 3)",North,"[(33, 5), (33, 3)]","[(32, 3), (33, 4)]","[(33, 5), (32, 3)]",10,5,0,5
10,"(32, 3)","(33, 3)",West,"[(33, 3), (31, 3)]","[(33, 5), (32, 3)]","[(31, 3), (33, 5)]",11,5,0,5
11,"(33, 5)","(33, 4)",North,"[(33, 6), (33, 4)]","[(31, 3), (33, 5)]","[(33, 6), (31, 3)]",12,6,0,6
12,"(31, 3)","(32, 3)",West,"[(31, 4), (31, 2), (32, 3)]","[(33, 6), (31, 3)]","[(31, 2), (31, 4), (33, 6)]",13,6,0,6
13,"(33, 6)","(33, 5)",North,"[(33, 7), (33, 5)]","[(31, 2), (31, 4), (33, 6)]","[(33, 7), (31, 2), (31, 4)]",14,7,0,7
14,"(31, 4)","(31, 3)",North,"[(31, 5), (31, 3)]","[(33, 7), (31, 2), (31, 4)]","[(31, 5), (33, 7), (31, 2)]",15,7,0,7
15,"(31, 2)","(31, 3)",South,"[(31, 3), (31, 1)]","[(31, 5), (33, 7), (31, 2)]","[(31, 1), (31, 5), (33, 7)]",16,7,0,7
16,"(33, 7)","(33, 6)",North,"[(33, 6), (34, 7)]","[(31, 1), (31, 5), (33, 7)]","[(34, 7), (31, 1), (31, 5)]",17,8,0,8
17,"(31, 5)","(31, 4)",North,"[(31, 6), (31, 4), (30, 5)]","[(34, 7), (31, 1), (31, 5)]","[(30, 5), (31, 6), (34, 7), (31, 1)]",18,8,0,8
18,"(31, 1)","(31, 2)",South,"[(31, 2)]","[(30, 5), (31, 6), (34, 7), (31, 1)]","[(30, 5), (31, 6), (34, 7)]",19,8,0,8
19,"(34, 7)","(33, 7)",East,"[(35, 7), (33, 7)]","[(30, 5), (31, 6), (34, 7)]","[(35, 7), (30, 5), (31, 6)]",20,9,0,9
20,"(31, 6)","(31, 5)",North,"[(31, 7), (31, 5)]","[(35, 7), (30, 5), (31, 6)]","[(31, 7), (35, 7), (30, 5)]",21,9,0,9
21,"(30, 5)","(31, 5)",West,"[(31, 5), (29, 5)]","[(31, 7), (35, 7), (30, 5)]","[(29, 5), (31, 7), (35, 7)]",22,9,0,9
22,"(35, 7)","(34, 7)",East,"[(34, 7)]","[(29, 5), (31, 7), (35, 7)]","[(29, 5), (31, 7)]",23,10,0,10
23,"(31, 7)","(31, 6)",North,"[(31, 8), (31, 6)]","[(29, 5), (31, 7)]","[(31, 8), (29, 5)]",24,10,0,10
24,"(29, 5)","(30, 5)",West,"[(29, 4), (30, 5)]","[(31, 8), (29, 5)]","[(29, 4), (31, 8)]",25,10,0,10
25,"(31, 8)","(31, 7)",North,"[(31, 9), (31, 7)]","[(29, 4), (31, 8)]","[(31, 9), (29, 4)]",26,11,0,11
26,"(29, 4)","(29, 5)",South,"[(29, 5), (29, 3)]","[(31, 9), (29, 4)]","[(29, 3), (31, 9)]",27,11,0,11
27,"(31, 9)","(31, 8)",North,"[(31, 10), (31, 8), (32, 9)]","[(29, 3), (31, 9)]","[(32, 9), (31, 10), (29, 3)]",28,12,0,12
28,"(29, 3)","(29, 4)",South,"[(29, 4), (28, 3)]","[(32, 9), (31, 10), (29, 3)]","[(28, 3), (32, 9), (31, 10)]",29,12,0,12
29,"(31, 10)","(31, 9)",North,"[(31, 11), (31, 9)]","[(28, 3), (32, 9), (31, 10)]","[(31, 11), (28, 3), (32, 9)]",30,13,0,13
30,"(32, 9)","(31, 9)",East,"[(33, 9), (31, 9)]","[(31, 11), (28, 3), (32, 9)]","[(33, 9), (31, 11), (28, 3)]",31,13,0,13
31,"(28, 3)","(29, 3)",West,"[(29, 3), (27, 3)]","[(33, 9), (31, 11), (28, 3)]","[(27, 3), (33, 9), (31, 11)]",32,13,0,13
32,"(31, 11)","(31, 10)",North,"[(31, 10), (30, 11)]","[(27, 3), (33, 9), (31, 11)]","[(30, 11), (27, 3), (33, 9)]",33,14,0,14
33,"(33, 9)","(32, 9)",East,"[(33, 10), (34, 9), (32, 9)]","[(30, 11), (27, 3), (33, 9)]","[(34, 9), (33, 10), (30, 11), (27, 3)]",34,14,0,14
34,"(27, 3)","(28, 3)",West,"[(27, 4), (27, 2), (28, 3), (26, 3)]","[(34, 9), (33, 10), (30, 11), (27, 3)]","[(26, 3), (27, 2), (27, 4), (34, 9), (33, 10), (30, 11)]",35,14,0,14
35,"(30, 11)","(31, 11)",West,"[(31, 11), (29, 11)]","[(26, 3), (27, 2), (27, 4), (34, 9), (33, 10), (30, 11)]","[(29, 11), (26, 3), (27, 2), (27, 4), (34, 9), (33, 10)]",36,15,0,15
36,"(33, 10)","(33, 9)",North,"[(33, 11), (33, 9)]","[(29, 11), (26, 3), (27, 2), (27, 4), (34, 9), (33, 10)]","[(33, 11), (29, 11), (26, 3), (27, 2), (27, 4), (34, 9)]",37,15,0,15
37,"(34, 9)","(33, 9)",East,"[(35, 9), (33, 9)]","[(33, 11), (29, 11), (26, 3), (27, 2), (27, 4), (34, 9)]","[(35, 9), (33, 11), (29, 11), (26, 3), (27, 2), (27, 4)]",38,15,0,15
38,"(27, 4)","(27, 3)",North,"[(27, 5), (27, 3)]","[(35, 9), (33, 11), (29, 11), (26, 3), (27, 2), (27, 4)]","[(27, 5), (35, 9), (33, 11), (29, 11), (26, 3), (27, 2)]",39,15,0,15
39,"(27, 2)","(27, 3)",South,"[(27, 3), (27, 1)]","[(27, 5), (35, 9), (33, 11), (29, 11), (26, 3), (27, 2)]","[(27, 1), (27, 5), (35, 9), (33, 11), (29, 11), (26, 3)]",40,15,0,15
40,"(26, 3)","(27, 3)",West,"[(27, 3), (25, 3)]","[(27, 1), (27, 5), (35, 9), (33, 11), (29, 11), (26, 3)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11), (29, 11)]",41,15,0,15
41,"(29, 11)","(30, 11)",West,"[(30, 11)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11), (29, 11)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11)]",42,16,0,16
42,"(33, 11)","(33, 10)",North,"[(33, 10)]","[(25, 3), (27, 1), (27, 5), (35, 9), (33, 11)]","[(25, 3), (27, 1), (27, 5), (35, 9)]",43,16,0,16
43,"(35, 9)","(34, 9)",East,"[(35, 10), (34, 9)]","[(25, 3), (27, 1), (27, 5), (35, 9)]","[(35, 10), (25, 3), (27, 1), (27, 5)]",44,16,0,16
44,"(27, 5)","(27, 4)",North,"[(27, 6), (27, 4)]","[(35, 10), (25, 3), (27, 1), (27, 5)]","[(27, 6), (35, 10), (25, 3), (27, 1)]",45,16,0,16
45,"(27, 1)","(27, 2)",South,"[(27, 2), (28, 1)]","[(27, 6), (35, 10), (25, 3), (27, 1)]","[(28, 1), (27, 6), (35, 10), (25, 3)]",46,16,0,16
46,"(25, 3)","(26, 3)",West,"[(25, 4), (26, 3), (24, 3)]","[(28, 1), (27, 6), (35, 10), (25, 3)]","[(24, 3), (25, 4), (28, 1), (27, 6), (35, 10)]",47,16,0,16
47,"(35, 10)","(35, 9)",North,"[(35, 11), (35, 9)]","[(24, 3), (25, 4), (28, 1), (27, 6), (35, 10)]","[(35, 11), (24, 3), (25, 4), (28, 1), (27, 6)]",48,17,0,17
