iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(34, 16)",None,None,"[(34, 15), (33, 16)]","[(34, 16)]","[(34, 15), (33, 16)]",1,0,0,0
1,"(34, 15)","(34, 16)",South,"[(34, 16), (34, 14)]","[(34, 15), (33, 16)]","[(33, 16), (34, 14)]",2,1,0,1
2,"(33, 16)","(34, 16)",West,"[(34, 16), (32, 16)]","[(33, 16), (34, 14)]","[(34, 14), (32, 16)]",3,1,0,1
3,"(34, 14)","(34, 15)",South,"[(34, 15), (33, 14)]","[(34, 14), (32, 16)]","[(32, 16), (33, 14)]",4,2,0,2
4,"(32, 16)","(33, 16)",West,"[(33, 16), (31, 16)]","[(32, 16), (33, 14)]","[(33, 14), (31, 16)]",5,2,0,2
5,"(33, 14)","(34, 14)",West,"[(34, 14), (32, 14)]","[(33, 14), (31, 16)]","[(31, 16), (32, 14)]",6,3,0,3
6,"(31, 16)","(32, 16)",West,"[(32, 16), (30, 16)]","[(31, 16), (32, 14)]","[(32, 14), (30, 16)]",7,3,0,3
7,"(32, 14)","(33, 14)",West,"[(33, 14), (31, 14)]","[(32, 14), (30, 16)]","[(30, 16), (31, 14)]",8,4,0,4
8,"(30, 16)","(31, 16)",West,"[(31, 16), (29, 16)]","[(30, 16), (31, 14)]","[(31, 14), (29, 16)]",9,4,0,4
9,"(31, 14)","(32, 14)",West,"[(32, 14), (30, 14)]","[(31, 14), (29, 16)]","[(29, 16), (30, 14)]",10,5,0,5
10,"(29, 16)","(30, 16)",West,"[(30, 16), (28, 16)]","[(29, 16), (30, 14)]","[(30, 14), (28, 16)]",11,5,0,5
11,"(30, 14)","(31, 14)",West,"[(30, 13), (31, 14)]","[(30, 14), (28, 16)]","[(28, 16), (30, 13)]",12,6,0,6
12,"(28, 16)","(29, 16)",West,"[(29, 16), (27, 16)]","[(28, 16), (30, 13)]","[(30, 13), (27, 16)]",13,6,0,6
