iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(34, 16)",None,None,"[(34, 15), (33, 16)]","[(34, 16)]","[(34, 15), (33, 16)]",1,0,0,0
1,"(34, 15)","(34, 16)",South,"[(34, 16), (34, 14)]","[(34, 15), (33, 16)]","[(33, 16), (34, 14)]",2,5.820766091346741e-11,0,5.820766091346741e-11
2,"(33, 16)","(34, 16)",West,"[(34, 16), (32, 16)]","[(33, 16), (34, 14)]","[(34, 14), (32, 16)]",3,1.1641532182693481e-10,0,1.1641532182693481e-10
3,"(34, 14)","(34, 15)",South,"[(34, 15), (33, 14)]","[(34, 14), (32, 16)]","[(33, 14), (32, 16)]",4,1.1641532182693481e-10,0,1.1641532182693481e-10
4,"(33, 14)","(34, 14)",West,"[(34, 14), (32, 14)]","[(33, 14), (32, 16)]","[(32, 16), (32, 14)]",5,2.3283064365386963e-10,0,2.3283064365386963e-10
5,"(32, 16)","(33, 16)",West,"[(33, 16), (31, 16)]","[(32, 16), (32, 14)]","[(32, 14), (31, 16)]",6,3.4924596548080444e-10,0,3.4924596548080444e-10
6,"(32, 14)","(33, 14)",West,"[(33, 14), (31, 14)]","[(32, 14), (31, 16)]","[(31, 16), (31, 14)]",7,4.656612873077393e-10,0,4.656612873077393e-10
7,"(31, 16)","(32, 16)",West,"[(32, 16), (30, 16)]","[(31, 16), (31, 14)]","[(31, 14), (30, 16)]",8,8.149072527885437e-10,0,8.149072527885437e-10
8,"(31, 14)","(32, 14)",West,"[(32, 14), (30, 14)]","[(31, 14), (30, 16)]","[(30, 16), (30, 14)]",9,9.313225746154785e-10,0,9.313225746154785e-10
9,"(30, 16)","(31, 16)",West,"[(31, 16), (29, 16)]","[(30, 16), (30, 14)]","[(30, 14), (29, 16)]",10,1.7462298274040222e-09,0,1.7462298274040222e-09
10,"(30, 14)","(31, 14)",West,"[(30, 13), (31, 14)]","[(30, 14), (29, 16)]","[(30, 13), (29, 16)]",11,1.862645149230957e-09,0,1.862645149230957e-09
11,"(30, 13)","(30, 14)",South,"[(30, 14), (30, 12)]","[(30, 13), (29, 16)]","[(29, 16), (30, 12)]",12,2.7939677238464355e-09,0,2.7939677238464355e-09
12,"(29, 16)","(30, 16)",West,"[(30, 16), (28, 16)]","[(29, 16), (30, 12)]","[(30, 12), (28, 16)]",13,3.6088749766349792e-09,0,3.6088749766349792e-09
13,"(30, 12)","(30, 13)",South,"[(30, 13), (31, 12)]","[(30, 12), (28, 16)]","[(31, 12), (28, 16)]",14,3.725290298461914e-09,0,3.725290298461914e-09
14,"(31, 12)","(30, 12)",East,"[(32, 12), (30, 12)]","[(31, 12), (28, 16)]","[(32, 12), (28, 16)]",15,4.190951585769653e-09,0,4.190951585769653e-09
15,"(32, 12)","(31, 12)",East,"[(33, 12), (31, 12)]","[(32, 12), (28, 16)]","[(33, 12), (28, 16)]",16,4.423782229423523e-09,0,4.423782229423523e-09
16,"(33, 12)","(32, 12)",East,"[(34, 12), (32, 12)]","[(33, 12), (28, 16)]","[(34, 12), (28, 16)]",17,4.540197551250458e-09,0,4.540197551250458e-09
17,"(34, 12)","(33, 12)",East,"[(34, 11), (33, 12)]","[(34, 12), (28, 16)]","[(34, 11), (28, 16)]",18,4.598405212163925e-09,0,4.598405212163925e-09
18,"(34, 11)","(34, 12)",South,"[(34, 12), (34, 10)]","[(34, 11), (28, 16)]","[(34, 10), (28, 16)]",19,4.6566128730773926e-09,0,4.6566128730773926e-09
19,"(34, 10)","(34, 11)",South,"[(34, 11), (33, 10)]","[(34, 10), (28, 16)]","[(33, 10), (28, 16)]",20,4.71482053399086e-09,0,4.71482053399086e-09
20,"(33, 10)","(34, 10)",West,"[(34, 10), (32, 10)]","[(33, 10), (28, 16)]","[(32, 10), (28, 16)]",21,4.831235855817795e-09,0,4.831235855817795e-09
21,"(32, 10)","(33, 10)",West,"[(33, 10), (31, 10)]","[(32, 10), (28, 16)]","[(31, 10), (28, 16)]",22,5.0640664994716644e-09,0,5.0640664994716644e-09
22,"(31, 10)","(32, 10)",West,"[(32, 10), (30, 10)]","[(31, 10), (28, 16)]","[(30, 10), (28, 16)]",23,5.529727786779404e-09,0,5.529727786779404e-09
23,"(30, 10)","(31, 10)",West,"[(30, 9), (31, 10), (29, 10)]","[(30, 10), (28, 16)]","[(28, 16), (30, 9), (29, 10)]",24,6.461050361394882e-09,0,6.461050361394882e-09
24,"(28, 16)","(29, 16)",West,"[(29, 16), (27, 16)]","[(28, 16), (30, 9), (29, 10)]","[(30, 9), (29, 10), (27, 16)]",25,7.334165275096893e-09,0,7.334165275096893e-09
25,"(30, 9)","(30, 10)",South,"[(30, 10), (30, 8)]","[(30, 9), (29, 10), (27, 16)]","[(29, 10), (27, 16), (30, 8)]",26,7.392372936010361e-09,0,7.392372936010361e-09
26,"(29, 10)","(30, 10)",West,"[(30, 10)]","[(29, 10), (27, 16), (30, 8)]","[(30, 8), (27, 16)]",27,8.32369551062584e-09,0,8.32369551062584e-09
27,"(30, 8)","(30, 9)",South,"[(30, 9), (31, 8)]","[(30, 8), (27, 16)]","[(31, 8), (27, 16)]",28,8.32369551062584e-09,0,8.32369551062584e-09
28,"(31, 8)","(30, 8)",East,"[(32, 8), (30, 8)]","[(31, 8), (27, 16)]","[(32, 8), (27, 16)]",29,8.789356797933578e-09,0,8.789356797933578e-09
29,"(32, 8)","(31, 8)",East,"[(33, 8), (31, 8)]","[(32, 8), (27, 16)]","[(33, 8), (27, 16)]",30,9.022187441587448e-09,0,9.022187441587448e-09
30,"(33, 8)","(32, 8)",East,"[(34, 8), (32, 8)]","[(33, 8), (27, 16)]","[(34, 8), (27, 16)]",31,9.138602763414383e-09,0,9.138602763414383e-09
31,"(34, 8)","(33, 8)",East,"[(34, 7), (33, 8)]","[(34, 8), (27, 16)]","[(34, 7), (27, 16)]",32,9.19681042432785e-09,0,9.19681042432785e-09
32,"(34, 7)","(34, 8)",South,"[(34, 8), (34, 6)]","[(34, 7), (27, 16)]","[(34, 6), (27, 16)]",33,9.255018085241318e-09,0,9.255018085241318e-09
33,"(34, 6)","(34, 7)",South,"[(34, 7), (33, 6)]","[(34, 6), (27, 16)]","[(33, 6), (27, 16)]",34,9.313225746154785e-09,0,9.313225746154785e-09
34,"(33, 6)","(34, 6)",West,"[(34, 6), (32, 6)]","[(33, 6), (27, 16)]","[(32, 6), (27, 16)]",35,9.42964106798172e-09,0,9.42964106798172e-09
35,"(32, 6)","(33, 6)",West,"[(33, 6), (31, 6)]","[(32, 6), (27, 16)]","[(31, 6), (27, 16)]",36,9.66247171163559e-09,0,9.66247171163559e-09
36,"(31, 6)","(32, 6)",West,"[(32, 6), (30, 6)]","[(31, 6), (27, 16)]","[(30, 6), (27, 16)]",37,1.0128132998943329e-08,0,1.0128132998943329e-08
37,"(30, 6)","(31, 6)",West,"[(30, 5), (31, 6), (29, 6)]","[(30, 6), (27, 16)]","[(30, 5), (27, 16), (29, 6)]",38,1.1059455573558807e-08,0,1.1059455573558807e-08
38,"(30, 5)","(30, 6)",South,"[(30, 6), (30, 4)]","[(30, 5), (27, 16), (29, 6)]","[(29, 6), (27, 16), (30, 4)]",39,1.1990778148174286e-08,0,1.1990778148174286e-08
39,"(29, 6)","(30, 6)",West,"[(30, 6)]","[(29, 6), (27, 16), (30, 4)]","[(30, 4), (27, 16)]",40,1.2922100722789764e-08,0,1.2922100722789764e-08
40,"(30, 4)","(30, 5)",South,"[(30, 5), (30, 3), (31, 4)]","[(30, 4), (27, 16)]","[(31, 4), (27, 16), (30, 3)]",41,1.2922100722789764e-08,0,1.2922100722789764e-08
