iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(35, 1)",None,None,"[(35, 2), (34, 1)]","[(35, 1)]","[(34, 1), (35, 2)]",1,0,34,34
1,"(34, 1)","(35, 1)",West,"[(35, 1), (33, 1)]","[(34, 1), (35, 2)]","[(33, 1), (35, 2)]",2,1,33,34
2,"(33, 1)","(34, 1)",West,"[(34, 1)]","[(33, 1), (35, 2)]","[(35, 2)]",3,2,32,34
3,"(35, 2)","(35, 1)",North,"[(35, 3), (35, 1)]","[(35, 2)]","[(35, 3)]",4,1,35,36
4,"(35, 3)","(35, 2)",North,"[(35, 4), (35, 2), (34, 3)]","[(35, 3)]","[(34, 3), (35, 4)]",5,2,36,38
5,"(34, 3)","(35, 3)",West,"[(35, 3), (33, 3)]","[(34, 3), (35, 4)]","[(33, 3), (35, 4)]",6,3,35,38
6,"(33, 3)","(34, 3)",West,"[(33, 4), (34, 3), (32, 3)]","[(33, 3), (35, 4)]","[(32, 3), (33, 4), (35, 4)]",7,4,34,38
7,"(32, 3)","(33, 3)",West,"[(33, 3), (31, 3)]","[(32, 3), (33, 4), (35, 4)]","[(31, 3), (33, 4), (35, 4)]",8,5,33,38
8,"(31, 3)","(32, 3)",West,"[(31, 4), (31, 2), (32, 3)]","[(31, 3), (33, 4), (35, 4)]","[(31, 2), (35, 4), (31, 4), (33, 4)]",9,6,32,38
9,"(31, 2)","(31, 3)",South,"[(31, 3), (31, 1)]","[(31, 2), (35, 4), (31, 4), (33, 4)]","[(31, 1), (35, 4), (31, 4), (33, 4)]",10,7,31,38
10,"(31, 1)","(31, 2)",South,"[(31, 2)]","[(31, 1), (35, 4), (31, 4), (33, 4)]","[(35, 4), (33, 4), (31, 4)]",11,8,30,38
11,"(35, 4)","(35, 3)",North,"[(35, 5), (35, 3)]","[(35, 4), (33, 4), (31, 4)]","[(33, 4), (31, 4), (35, 5)]",12,3,37,40
12,"(33, 4)","(33, 3)",North,"[(33, 5), (33, 3)]","[(33, 4), (31, 4), (35, 5)]","[(31, 4), (35, 5), (33, 5)]",13,5,35,40
13,"(31, 4)","(31, 3)",North,"[(31, 5), (31, 3)]","[(31, 4), (35, 5), (33, 5)]","[(35, 5), (33, 5), (31, 5)]",14,7,33,40
