iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"((5, 1), (False, False, False, False))",None,None,"[((5, 2), (False, False, False, False))]","[((5, 1), (False, False, False, False))]","[((5, 2), (False, False, False, False))]",1,0,53,53
1,"((5, 2), (False, False, False, False))","((5, 1), (False, False, False, False))",North,"[((5, 1), (False, False, False, False)), ((6, 2), (False, False, False, False))]","[((5, 2), (False, False, False, False))]","[((6, 2), (False, False, False, False))]",2,1,54,55
2,"((6, 2), (False, False, False, False))","((5, 2), (False, False, False, False))",East,"[((7, 2), (False, False, False, False)), ((5, 2), (False, False, False, False))]","[((6, 2), (False, False, False, False))]","[((7, 2), (False, False, False, False))]",3,2,55,57
3,"((7, 2), (False, False, False, False))","((6, 2), (False, False, False, False))",East,"[((8, 2), (False, False, False, False)), ((6, 2), (False, False, False, False))]","[((7, 2), (False, False, False, False))]","[((8, 2), (False, False, False, False))]",4,3,56,59
4,"((8, 2), (False, False, False, False))","((7, 2), (False, False, False, False))",East,"[((9, 2), (False, False, False, False)), ((7, 2), (False, False, False, False))]","[((8, 2), (False, False, False, False))]","[((9, 2), (False, False, False, False))]",5,4,57,61
5,"((9, 2), (False, False, False, False))","((8, 2), (False, False, False, False))",East,"[((9, 3), (False, False, False, False)), ((8, 2), (False, False, False, False))]","[((9, 2), (False, False, False, False))]","[((9, 3), (False, False, False, False))]",6,5,58,63
6,"((9, 3), (False, False, False, False))","((9, 2), (False, False, False, False))",North,"[((9, 4), (False, False, False, False)), ((9, 2), (False, False, False, False))]","[((9, 3), (False, False, False, False))]","[((9, 4), (False, False, False, False))]",7,6,59,65
7,"((9, 4), (False, False, False, False))","((9, 3), (False, False, False, False))",North,"[((9, 3), (False, False, False, False)), ((10, 4), (False, False, False, False)), ((8, 4), (False, False, False, False))]","[((9, 4), (False, False, False, False))]","[((8, 4), (False, False, False, False)), ((10, 4), (False, False, False, False))]",8,7,60,67
8,"((8, 4), (False, False, False, False))","((9, 4), (False, False, False, False))",West,"[((9, 4), (False, False, False, False)), ((7, 4), (False, False, False, False))]","[((8, 4), (False, False, False, False)), ((10, 4), (False, False, False, False))]","[((7, 4), (False, False, False, False)), ((10, 4), (False, False, False, False))]",9,8,59,67
9,"((7, 4), (False, False, False, False))","((8, 4), (False, False, False, False))",West,"[((8, 4), (False, False, False, False)), ((6, 4), (False, False, False, False))]","[((7, 4), (False, False, False, False)), ((10, 4), (False, False, False, False))]","[((6, 4), (False, False, False, False)), ((10, 4), (False, False, False, False))]",10,9,58,67
