iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
0,"(7, 9)",None,None,"[(7, 10)]","[(7, 9)]","[(7, 10)]",1,0,0,0
1,"(7, 10)","(7, 9)",North,"[(7, 11), (7, 9)]","[(7, 10)]","[(7, 11)]",2,1,0,1
2,"(7, 11)","(7, 10)",North,"[(7, 12), (7, 10)]","[(7, 11)]","[(7, 12)]",3,2,0,2
3,"(7, 12)","(7, 11)",North,"[(7, 13), (7, 11)]","[(7, 12)]","[(7, 13)]",4,3,0,3
4,"(7, 13)","(7, 12)",North,"[(7, 12), (8, 13)]","[(7, 13)]","[(8, 13)]",5,4,0,4
5,"(8, 13)","(7, 13)",East,"[(9, 13), (7, 13)]","[(8, 13)]","[(9, 13)]",6,5,0,5
6,"(9, 13)","(8, 13)",East,"[(10, 13), (8, 13)]","[(9, 13)]","[(10, 13)]",7,6,0,6
7,"(10, 13)","(9, 13)",East,"[(11, 13), (9, 13)]","[(10, 13)]","[(11, 13)]",8,7,0,7
8,"(11, 13)","(10, 13)",East,"[(11, 12), (12, 13), (10, 13)]","[(11, 13)]","[(12, 13), (11, 12)]",9,8,0,8
9,"(11, 12)","(11, 13)",South,"[(11, 13), (11, 11)]","[(12, 13), (11, 12)]","[(11, 11), (12, 13)]",10,9,0,9
10,"(12, 13)","(11, 13)",East,"[(13, 13), (11, 13)]","[(11, 11), (12, 13)]","[(13, 13), (11, 11)]",11,9,0,9
11,"(11, 11)","(11, 12)",South,"[(11, 12), (12, 11), (10, 11)]","[(13, 13), (11, 11)]","[(10, 11), (12, 11), (13, 13)]",12,10,0,10
12,"(13, 13)","(12, 13)",East,"[(14, 13), (12, 13)]","[(10, 11), (12, 11), (13, 13)]","[(14, 13), (10, 11), (12, 11)]",13,10,0,10
13,"(12, 11)","(11, 11)",East,"[(13, 11), (11, 11)]","[(14, 13), (10, 11), (12, 11)]","[(13, 11), (14, 13), (10, 11)]",14,11,0,11
14,"(10, 11)","(11, 11)",West,"[(11, 11), (9, 11)]","[(13, 11), (14, 13), (10, 11)]","[(9, 11), (13, 11), (14, 13)]",15,11,0,11
15,"(14, 13)","(13, 13)",East,"[(15, 13), (13, 13)]","[(9, 11), (13, 11), (14, 13)]","[(15, 13), (9, 11), (13, 11)]",16,11,0,11
16,"(13, 11)","(12, 11)",East,"[(14, 11), (12, 11)]","[(15, 13), (9, 11), (13, 11)]","[(14, 11), (15, 13), (9, 11)]",17,12,0,12
17,"(9, 11)","(10, 11)",West,"[(9, 10), (10, 11)]","[(14, 11), (15, 13), (9, 11)]","[(9, 10), (14, 11), (15, 13)]",18,12,0,12
18,"(15, 13)","(14, 13)",East,"[(16, 13), (14, 13)]","[(9, 10), (14, 11), (15, 13)]","[(16, 13), (9, 10), (14, 11)]",19,12,0,12
19,"(14, 11)","(13, 11)",East,"[(14, 10), (13, 11)]","[(16, 13), (9, 10), (14, 11)]","[(14, 10), (16, 13), (9, 10)]",20,13,0,13
20,"(9, 10)","(9, 11)",South,"[(9, 11), (9, 9)]","[(14, 10), (16, 13), (9, 10)]","[(9, 9), (14, 10), (16, 13)]",21,13,0,13
21,"(16, 13)","(15, 13)",East,"[(17, 13), (15, 13)]","[(9, 9), (14, 10), (16, 13)]","[(17, 13), (9, 9), (14, 10)]",22,13,0,13
22,"(14, 10)","(14, 11)",South,"[(14, 11), (14, 9)]","[(17, 13), (9, 9), (14, 10)]","[(14, 9), (17, 13), (9, 9)]",23,14,0,14
23,"(9, 9)","(9, 10)",South,"[(9, 10), (9, 8)]","[(14, 9), (17, 13), (9, 9)]","[(9, 8), (14, 9), (17, 13)]",24,14,0,14
24,"(17, 13)","(16, 13)",East,"[(18, 13), (16, 13)]","[(9, 8), (14, 9), (17, 13)]","[(18, 13), (9, 8), (14, 9)]",25,14,0,14
25,"(14, 9)","(14, 10)",South,"[(14, 10), (15, 9), (13, 9)]","[(18, 13), (9, 8), (14, 9)]","[(13, 9), (15, 9), (18, 13), (9, 8)]",26,15,0,15
26,"(9, 8)","(9, 9)",South,"[(9, 9), (9, 7)]","[(13, 9), (15, 9), (18, 13), (9, 8)]","[(9, 7), (13, 9), (15, 9), (18, 13)]",27,15,0,15
27,"(18, 13)","(17, 13)",East,"[(19, 13), (17, 13)]","[(9, 7), (13, 9), (15, 9), (18, 13)]","[(19, 13), (9, 7), (13, 9), (15, 9)]",28,15,0,15
28,"(15, 9)","(14, 9)",East,"[(15, 8), (16, 9), (14, 9)]","[(19, 13), (9, 7), (13, 9), (15, 9)]","[(16, 9), (15, 8), (19, 13), (9, 7), (13, 9)]",29,16,0,16
29,"(13, 9)","(14, 9)",West,"[(14, 9), (12, 9)]","[(16, 9), (15, 8), (19, 13), (9, 7), (13, 9)]","[(12, 9), (16, 9), (15, 8), (19, 13), (9, 7)]",30,16,0,16
30,"(9, 7)","(9, 8)",South,"[(9, 8), (10, 7), (8, 7)]","[(12, 9), (16, 9), (15, 8), (19, 13), (9, 7)]","[(8, 7), (10, 7), (12, 9), (16, 9), (15, 8), (19, 13)]",31,16,0,16
31,"(19, 13)","(18, 13)",East,"[(19, 12), (20, 13), (18, 13)]","[(8, 7), (10, 7), (12, 9), (16, 9), (15, 8), (19, 13)]","[(20, 13), (19, 12), (8, 7), (10, 7), (12, 9), (16, 9), (15, 8)]",32,16,0,16
32,"(15, 8)","(15, 9)",South,"[(15, 9), (15, 7)]","[(20, 13), (19, 12), (8, 7), (10, 7), (12, 9), (16, 9), (15, 8)]","[(15, 7), (20, 13), (19, 12), (8, 7), (10, 7), (12, 9), (16, 9)]",33,17,0,17
